Source,Target,Weight
Peter Newcome,James Postlethwaite,48
Samuel Squire,John Cooksey,48
Charles Cavendish,Samuel Squire,48
John Cooksey,John Ellicot,48
Samuel Clark,James Douglas,48
John Hyde,Nicholas Munckley,48
Robert Watson,James Burrow,48
John Clephane,William Tempest,47
Charleton Wollaston,William Tempest,47
Joseph Banks,Matthew Raper,47
Paul Whichcote,Samuel Squire,47
Neville Maskeleyne,John Lewis Pettit,47
Alex Russell,John Ellicot,47
Charles Morton,John Ellicot,47
Richard Huck Saunders,John Ellicot,47
Henry Bolt Cay,Matthew Raper,47
Samuel Horsley,John Ross,47
John Lewis Pettit,John Pringle,47
John Clephane,Richard Roderick,47
Alexander Dalrymple,Joseph Banks,47
Matthew Maty,James Burrow,47
Richard Kaye,John Pringle,47
Robert Watson,George Parker Macclesfield,47
Paul Whichcote,Nicholas Munckley,47
Robert Burrow,Josiah Colebrooke,46
Charles Cavendish,William Hall,46
Martin Folkes,Hugh Willoughby,46
Neville Maskeleyne,Samuel Dyer,46
Daniel Solander,Josiah Colebrooke,46
Charles Cavendish,Charles  Feake,46
Joseph Warner,Josiah Colebrooke,46
John Cope,William Watson,46
William Hall,James Creed,46
John Darker,Henry Cavendish,46
John Lewis Pettit,Samuel Dyer,46
Alexander Dalrymple,Daniel Wray,46
Charles Cavendish,George Bell,46
John Hadley,John Ellicot,46
William Mann Godschal,James Burrow,46
Henry Bolt Cay,William Hall,46
James Stuart,Josiah Colebrooke,46
Michael Lort,William Russell,46
George  Graham,Josiah Colebrooke,46
Thomas Astle,Henry Cavendish,45
Neville Maskeleyne,Joseph Ayloffe,45
John Hadley,Philip Miller,45
Alex Russell,James Burrow,45
Samuel Dyer,James West,45
William Junior Watson,Henry Cavendish,45
Matthew Maty,Charles Morton,45
John Cope,Charles Morton,45
William Russell,Joseph Ayloffe,45
Daines Barrington,James Burrow,45
Daniel Solander,John Smeaton,45
George Baker,Charles Morton,45
Peter Daval,Martin Folkes,45
William Russell,William Heberden,45
George Baker,John Pringle,45
William Musgrave,James Burrow,45
James Gibbs,Samuel Squire,45
Richard Huck Saunders,James Burrow,45
Matthew Raper,George Parker Macclesfield,45
Francis Fauquier,Nicholas Munckley,45
Daniel Solander,Joseph Ayloffe,45
Arthur Pond,Josiah Colebrooke,45
Arthur Pond,Thomas Birch,45
John Pringle,William Tempest,44
Alexander Aubert,William Mann Godschal,44
Arthur Pond,Gowin Knight,44
Henry Bolt Cay,William Russell,44
Matthew Raper,Philip Miller,44
Matthew Raper,Samuel Clark,44
John Ross,Hugh Willoughby,44
Richard Huck Saunders,Gowin Knight,44
Joshua Iremonger,James Burrow,44
