Meeting date,Dish giver,Dish name,Quantity
1773-12-23,Joseph Banks,haunch of venison,1
1773-12-23,Joseph Banks,neck of venison,1
1773-12-23,Edward Hooper,roast fowles,2
1773-12-23,Joseph Banks,venison pasty,1
1774-07-28,Phillip York,haunch of venison,1
1774-07-28,Phillip York,neck of venison,1
1774-07-28,Phillip York,venison pasty,1
1774-08-11,Edward Hooper,haunch of venison,1
1774-09-01,William Watson,stewed melon,1
1774-09-08,William Watson,haunch of venison,1
1774-11-17,Joseph Banks,haunch of venison,2
1774-11-17,Joseph Banks,venison pasty,2
1774-12-16,Matthew Raper,hare,2
1774-12-16,Matthew Raper,pheasants,2
1775-06-22,William Musgrave,turtle,1
1775-07-27,Phillip York,haunch of venison,1
1775-07-27,Phillip York,neck of venison,1
1775-07-27,Phillip York,venison pasty,1
1775-08-10,Joseph Banks,haunch of venison,1
1775-08-10,Joseph Banks,neck of venison,1
1775-08-10,Joseph Banks,venison pasty,1
1775-11-09,Edward Hooper,hare,1
1775-11-09,Edward Hooper,pheasants,3
1776-01-25,John Pringle,salmon,1
1776-04-25,John Cuthbert,pickled salmon,1
1776-05-02,John Cuthbert,pickled salmon,1
1776-08-01,Phillip York,haunch of venison,1
1776-08-01,Phillip York,neck of venison,1
1776-08-08,Phillip York,haunch of venison,1
1776-08-15,Joseph Banks,haunch of venison,1
1776-08-22,Edward Hooper,haunch of venison,1
1776-09-05,Joseph Banks,haunch of venison,1
1776-09-05,Joseph Banks,neck of venison,1
1776-09-05,Joseph Banks,venison pasty,1
1776-12-05,Edward Hooper,hare,1
1776-12-05,Edward Hooper,pheasants,2
1777-05-15,John Cuthbert,newcastle salmon,1
1777-05-22,John Cuthbert,pickled salmon,1
1777-05-29,John Cuthbert,pickled salmon,1
1777-07-24,Phillip York,haunch of venison,1
1777-07-24,Phillip York,venison pasty,1
1777-07-31,William Watson,haunch of venison,1
1777-07-31,William Watson,venison pasty,1
1777-08-21,William Musgrave,haunch of venison,1
1777-09-04,Joseph Banks,haunch of venison,1
1777-09-04,Joseph Banks,venison,1
1777-10-09,Edward Hooper,hare,1
1777-10-09,Edward Hooper,pheasants,1
1777-12-25,William Musgrave,venison,1
1778-03-05,Patrick Russell,hare,1
1778-06-04,John Pringle,pickled salmon,1
1778-07-23,Phillip York,neck of venison,1
1778-07-23,Phillip York,venison pasty,1
1778-07-30,Joseph Banks,venison,1
1778-07-30,Joseph Banks,venison pasty,2
1778-08-06,George Baker,haunch of venison,1
1778-08-20,William Musgrave,haunch of venison,1
1778-10-15,Edward Hooper,hare,2
1778-10-15,Edward Hooper,pheasants,2
1779-07-29,Phillip York,haunch of roast venison,1
1779-07-29,Phillip York,neck of venison,1
1779-07-29,Phillip York,venison pasty,1
1779-08-12,William Musgrave,haunch of venison,1
1779-08-12,William Musgrave,venison pasty,1
1779-09-09,Charles Cavendish,haunch of venison,1
1779-09-09,Charles Cavendish,venison pasty,1
1779-09-23,Edward Hooper,brace of hares,1
1779-10-07,Edward Hooper,brace of hares,1
1779-10-07,Edward Hooper,brace of pheasants,2
1779-12-23,William Musgrave,haunch of venison,1
1779-12-23,William Musgrave,venison pasty,1
1780-07-27,Phillip York,haunch of venison,1
